Matching Log
------------
iter=1   dual_objective=-686709.1875   dual_grad_norm=8696.43359375   reg_penalty=1180.583251953125   dual_val_times_grad=0.0   max_pos_slack=2991.600341796875   sum_pos_slack=88280.8671875
iter=2   dual_objective=-686591.625   dual_grad_norm=8688.6513671875   reg_penalty=1180.541259765625   dual_val_times_grad=0.5346085429191589   max_pos_slack=2983.8203125   sum_pos_slack=88250.578125
iter=3   dual_objective=-686577.875   dual_grad_norm=8679.375   reg_penalty=1180.548583984375   dual_val_times_grad=1.2171449661254883   max_pos_slack=2974.052490234375   sum_pos_slack=88231.953125
iter=4   dual_objective=-686572.75   dual_grad_norm=8668.126953125   reg_penalty=1180.55810546875   dual_val_times_grad=2.0419816970825195   max_pos_slack=2962.280029296875   sum_pos_slack=88210.203125
iter=5   dual_objective=-686594.6875   dual_grad_norm=8655.1201171875   reg_penalty=1180.5743408203125   dual_val_times_grad=3.0046846866607666   max_pos_slack=2948.519775390625   sum_pos_slack=88188.765625
iter=6   dual_objective=-686581.5   dual_grad_norm=8640.044921875   reg_penalty=1180.58251953125   dual_val_times_grad=4.101046562194824   max_pos_slack=2932.73046875   sum_pos_slack=88158.2265625
iter=7   dual_objective=-686603.3125   dual_grad_norm=8623.3701171875   reg_penalty=1180.601806640625   dual_val_times_grad=5.327372074127197   max_pos_slack=2915.077392578125   sum_pos_slack=88129.34375
iter=8   dual_objective=-686617.6875   dual_grad_norm=8604.8583984375   reg_penalty=1180.6212158203125   dual_val_times_grad=6.679593086242676   max_pos_slack=2895.616943359375   sum_pos_slack=88095.171875
iter=9   dual_objective=-686609.0   dual_grad_norm=8584.591796875   reg_penalty=1180.648193359375   dual_val_times_grad=8.153701782226562   max_pos_slack=2874.402587890625   sum_pos_slack=88054.6875
iter=10   dual_objective=-686623.4375   dual_grad_norm=8562.7861328125   reg_penalty=1180.6798095703125   dual_val_times_grad=9.74583911895752   max_pos_slack=2851.467041015625   sum_pos_slack=88013.890625
iter=11   dual_objective=-686624.5625   dual_grad_norm=8539.47265625   reg_penalty=1180.7239990234375   dual_val_times_grad=11.451858520507812   max_pos_slack=2827.134765625   sum_pos_slack=87968.296875
iter=12   dual_objective=-686618.9375   dual_grad_norm=8514.6123046875   reg_penalty=1180.7742919921875   dual_val_times_grad=13.267313957214355   max_pos_slack=2801.23046875   sum_pos_slack=87918.3828125
iter=13   dual_objective=-686640.6875   dual_grad_norm=8488.568359375   reg_penalty=1180.844482421875   dual_val_times_grad=15.188559532165527   max_pos_slack=2774.065673828125   sum_pos_slack=87869.71875
iter=14   dual_objective=-686630.875   dual_grad_norm=8461.140625   reg_penalty=1180.91943359375   dual_val_times_grad=17.21063232421875   max_pos_slack=2745.7802734375   sum_pos_slack=87813.4140625
iter=15   dual_objective=-686632.0625   dual_grad_norm=8432.5576171875   reg_penalty=1181.009033203125   dual_val_times_grad=19.329511642456055   max_pos_slack=2716.27783203125   sum_pos_slack=87755.59375
iter=16   dual_objective=-686588.8125   dual_grad_norm=7575.6923828125   reg_penalty=1190.7718505859375   dual_val_times_grad=93.03231048583984   max_pos_slack=1867.968994140625   sum_pos_slack=85766.1953125
iter=17   dual_objective=-686515.6875   dual_grad_norm=7025.361328125   reg_penalty=1209.259765625   dual_val_times_grad=163.10218811035156   max_pos_slack=1406.1673583984375   sum_pos_slack=83930.9453125
iter=18   dual_objective=-686419.375   dual_grad_norm=6652.55712890625   reg_penalty=1232.6007080078125   dual_val_times_grad=229.26287841796875   max_pos_slack=1129.298583984375   sum_pos_slack=82273.34375
iter=19   dual_objective=-686336.5625   dual_grad_norm=6385.7958984375   reg_penalty=1258.533935546875   dual_val_times_grad=292.0743408203125   max_pos_slack=950.5985717773438   sum_pos_slack=80762.703125
iter=20   dual_objective=-686245.75   dual_grad_norm=6185.85791015625   reg_penalty=1285.791748046875   dual_val_times_grad=352.0886535644531   max_pos_slack=826.5820922851562   sum_pos_slack=79366.03125
iter=21   dual_objective=-686162.5625   dual_grad_norm=6030.61767578125   reg_penalty=1313.59130859375   dual_val_times_grad=409.8333435058594   max_pos_slack=737.3622436523438   sum_pos_slack=78077.8125
iter=22   dual_objective=-686079.3125   dual_grad_norm=5906.4560546875   reg_penalty=1341.4820556640625   dual_val_times_grad=465.715576171875   max_pos_slack=672.0282592773438   sum_pos_slack=76892.859375
iter=23   dual_objective=-685997.25   dual_grad_norm=5804.44677734375   reg_penalty=1369.304931640625   dual_val_times_grad=519.9440307617188   max_pos_slack=620.9833984375   sum_pos_slack=75785.4453125
iter=24   dual_objective=-685916.9375   dual_grad_norm=5719.04150390625   reg_penalty=1396.8905029296875   dual_val_times_grad=572.7767944335938   max_pos_slack=579.9901733398438   sum_pos_slack=74746.390625
