Number of users: 138493, number of movies: 26744
Built matching inputs: A shape (26744, 138493), C shape (26744, 138493)
b_vec shape: (26746,)
iter=1 | dual_objective=-686709.1875 | dual_grad_norm=117838.1953125 | reg_penalty=1180.583251953125 | dual_val_times_grad=0.0 | max_pos_slack=83096.921875 | sum_pos_slack=171377.78125
iter=2 | dual_objective=-686634.8125 | dual_grad_norm=117832.640625 | reg_penalty=1180.5599365234375 | dual_val_times_grad=69.58267974853516 | max_pos_slack=83093.375 | sum_pos_slack=171357.3125
iter=3 | dual_objective=-686583.6875 | dual_grad_norm=117853.484375 | reg_penalty=1180.5965576171875 | dual_val_times_grad=158.79307556152344 | max_pos_slack=83108.6171875 | sum_pos_slack=171362.75
iter=4 | dual_objective=-686456.0625 | dual_grad_norm=117836.7265625 | reg_penalty=1180.5989990234375 | dual_val_times_grad=267.07733154296875 | max_pos_slack=83097.328125 | sum_pos_slack=171329.484375
iter=5 | dual_objective=-686265.1875 | dual_grad_norm=117809.859375 | reg_penalty=1180.595947265625 | dual_val_times_grad=394.0794372558594 | max_pos_slack=83078.96875 | sum_pos_slack=171278.703125
iter=6 | dual_objective=-686074.5625 | dual_grad_norm=117814.75 | reg_penalty=1180.58740234375 | dual_val_times_grad=539.719970703125 | max_pos_slack=83083.234375 | sum_pos_slack=171244.34375
iter=7 | dual_objective=-685959.875 | dual_grad_norm=117818.8515625 | reg_penalty=1180.613037109375 | dual_val_times_grad=703.7938232421875 | max_pos_slack=83087.0078125 | sum_pos_slack=171222.765625
iter=8 | dual_objective=-685817.0 | dual_grad_norm=117824.4375 | reg_penalty=1180.634765625 | dual_val_times_grad=886.1995239257812 | max_pos_slack=83091.921875 | sum_pos_slack=171197.84375
iter=9 | dual_objective=-685599.0 | dual_grad_norm=117827.546875 | reg_penalty=1180.659912109375 | dual_val_times_grad=1086.81884765625 | max_pos_slack=83095.1796875 | sum_pos_slack=171158.46875
iter=10 | dual_objective=-685428.8125 | dual_grad_norm=117836.1328125 | reg_penalty=1180.6943359375 | dual_val_times_grad=1305.6505126953125 | max_pos_slack=83102.3828125 | sum_pos_slack=171128.09375
iter=11 | dual_objective=-685167.6875 | dual_grad_norm=117822.0703125 | reg_penalty=1180.7325439453125 | dual_val_times_grad=1542.3033447265625 | max_pos_slack=83093.625 | sum_pos_slack=171070.75
iter=12 | dual_objective=-684919.0 | dual_grad_norm=117832.75 | reg_penalty=1180.7857666015625 | dual_val_times_grad=1797.280029296875 | max_pos_slack=83102.46875 | sum_pos_slack=171030.09375
iter=13 | dual_objective=-684642.5 | dual_grad_norm=117820.96875 | reg_penalty=1180.849853515625 | dual_val_times_grad=2069.89111328125 | max_pos_slack=83095.453125 | sum_pos_slack=170970.984375
iter=14 | dual_objective=-684366.9375 | dual_grad_norm=117825.140625 | reg_penalty=1180.9306640625 | dual_val_times_grad=2360.6826171875 | max_pos_slack=83099.796875 | sum_pos_slack=170922.78125
iter=15 | dual_objective=-684041.9375 | dual_grad_norm=117820.25 | reg_penalty=1181.0135498046875 | dual_val_times_grad=2669.184814453125 | max_pos_slack=83097.796875 | sum_pos_slack=170858.03125
iter=16 | dual_objective=-671105.8125 | dual_grad_norm=117757.8359375 | reg_penalty=1190.7747802734375 | dual_val_times_grad=15594.4208984375 | max_pos_slack=83094.828125 | sum_pos_slack=168862.109375
iter=17 | dual_objective=-653276.1875 | dual_grad_norm=117714.1015625 | reg_penalty=1209.2586669921875 | dual_val_times_grad=33383.11328125 | max_pos_slack=83088.0234375 | sum_pos_slack=167016.28125
iter=18 | dual_objective=-631240.0 | dual_grad_norm=117691.3046875 | reg_penalty=1232.582275390625 | dual_val_times_grad=55410.3359375 | max_pos_slack=83087.21875 | sum_pos_slack=165354.234375
iter=19 | dual_objective=-605429.0 | dual_grad_norm=117676.2578125 | reg_penalty=1258.4183349609375 | dual_val_times_grad=81200.328125 | max_pos_slack=83087.03125 | sum_pos_slack=163842.296875
iter=20 | dual_objective=-576213.625 | dual_grad_norm=117652.5 | reg_penalty=1285.6617431640625 | dual_val_times_grad=110374.2578125 | max_pos_slack=83077.7734375 | sum_pos_slack=162434.34375
iter=21 | dual_objective=-543899.5 | dual_grad_norm=117640.359375 | reg_penalty=1313.3333740234375 | dual_val_times_grad=142660.171875 | max_pos_slack=83074.875 | sum_pos_slack=161138.5625
iter=22 | dual_objective=-508692.65625 | dual_grad_norm=117623.4921875 | reg_penalty=1340.9912109375 | dual_val_times_grad=177815.71875 | max_pos_slack=83067.3984375 | sum_pos_slack=159940.921875
iter=23 | dual_objective=-470790.75 | dual_grad_norm=117613.734375 | reg_penalty=1368.5850830078125 | dual_val_times_grad=215674.828125 | max_pos_slack=83064.0859375 | sum_pos_slack=158821.796875
iter=24 | dual_objective=-430363.21875 | dual_grad_norm=117506.2890625 | reg_penalty=1395.376220703125 | dual_val_times_grad=255869.28125 | max_pos_slack=82991.0234375 | sum_pos_slack=157654.734375
iter=25 | dual_objective=-387528.0625 | dual_grad_norm=117427.9921875 | reg_penalty=1421.1531982421875 | dual_val_times_grad=298483.9375 | max_pos_slack=82938.09375 | sum_pos_slack=156570.703125
iter=26 | dual_objective=-342637.78125 | dual_grad_norm=115429.8203125 | reg_penalty=1427.3621826171875 | dual_val_times_grad=337735.09375 | max_pos_slack=81526.59375 | sum_pos_slack=153031.484375
iter=27 | dual_objective=-297137.1875 | dual_grad_norm=110244.953125 | reg_penalty=1378.8148193359375 | dual_val_times_grad=366783.625 | max_pos_slack=77859.671875 | sum_pos_slack=145500.5
iter=28 | dual_objective=-283620.3125 | dual_grad_norm=39460.90234375 | reg_penalty=297.8399353027344 | dual_val_times_grad=-146419.515625 | max_pos_slack=27696.375 | sum_pos_slack=29692.904296875
iter=29 | dual_objective=-293432.875 | dual_grad_norm=39463.76171875 | reg_penalty=302.12384033203125 | dual_val_times_grad=-156225.546875 | max_pos_slack=27698.546875 | sum_pos_slack=29547.6328125
iter=30 | dual_objective=-300764.3125 | dual_grad_norm=39461.9765625 | reg_penalty=306.0032958984375 | dual_val_times_grad=-163566.578125 | max_pos_slack=27697.38671875 | sum_pos_slack=29424.650390625
iter=31 | dual_objective=-305930.25 | dual_grad_norm=39464.3203125 | reg_penalty=309.5445251464844 | dual_val_times_grad=-168727.28125 | max_pos_slack=27699.146484375 | sum_pos_slack=29323.083984375
iter=32 | dual_objective=-309072.96875 | dual_grad_norm=39461.89453125 | reg_penalty=312.7734375 | dual_val_times_grad=-171881.53125 | max_pos_slack=27697.49609375 | sum_pos_slack=29233.228515625
iter=33 | dual_objective=-310449.6875 | dual_grad_norm=39464.1484375 | reg_penalty=315.737060546875 | dual_val_times_grad=-173252.765625 | max_pos_slack=27699.16796875 | sum_pos_slack=29159.455078125
iter=34 | dual_objective=-310154.8125 | dual_grad_norm=39463.34765625 | reg_penalty=318.4582214355469 | dual_val_times_grad=-172963.265625 | max_pos_slack=27698.65625 | sum_pos_slack=29092.33984375
iter=35 | dual_objective=-308353.3125 | dual_grad_norm=39463.13671875 | reg_penalty=320.9674072265625 | dual_val_times_grad=-171164.828125 | max_pos_slack=27698.55078125 | sum_pos_slack=29032.73828125
iter=36 | dual_objective=-305173.0 | dual_grad_norm=39464.77734375 | reg_penalty=323.2937927246094 | dual_val_times_grad=-167980.71875 | max_pos_slack=27699.76171875 | sum_pos_slack=28980.9609375
iter=37 | dual_objective=-300671.59375 | dual_grad_norm=39462.61328125 | reg_penalty=325.41900634765625 | dual_val_times_grad=-163489.0625 | max_pos_slack=27698.25390625 | sum_pos_slack=28931.85546875
iter=38 | dual_objective=-294996.125 | dual_grad_norm=39463.8671875 | reg_penalty=327.38323974609375 | dual_val_times_grad=-157810.890625 | max_pos_slack=27699.1796875 | sum_pos_slack=28889.453125
iter=39 | dual_objective=-288159.8125 | dual_grad_norm=39459.96875 | reg_penalty=329.19891357421875 | dual_val_times_grad=-150990.078125 | max_pos_slack=27696.427734375 | sum_pos_slack=28847.412109375
iter=40 | dual_objective=-280325.4375 | dual_grad_norm=39463.31640625 | reg_penalty=330.8912353515625 | dual_val_times_grad=-143145.359375 | max_pos_slack=27698.8359375 | sum_pos_slack=28814.3671875
iter=41 | dual_objective=-285238.15625 | dual_grad_norm=109827.2890625 | reg_penalty=1546.511962890625 | dual_val_times_grad=377077.21875 | max_pos_slack=77572.265625 | sum_pos_slack=141912.84375
iter=42 | dual_objective=-281090.5625 | dual_grad_norm=107327.3984375 | reg_penalty=1449.9232177734375 | dual_val_times_grad=372480.9375 | max_pos_slack=75804.546875 | sum_pos_slack=138231.109375
iter=43 | dual_objective=-278451.0 | dual_grad_norm=39462.98046875 | reg_penalty=336.6268005371094 | dual_val_times_grad=-141277.421875 | max_pos_slack=27698.68359375 | sum_pos_slack=28703.615234375
iter=44 | dual_objective=-277275.1875 | dual_grad_norm=39461.6328125 | reg_penalty=338.3997497558594 | dual_val_times_grad=-140108.078125 | max_pos_slack=27697.751953125 | sum_pos_slack=28671.03515625
iter=45 | dual_objective=-276149.5625 | dual_grad_norm=66969.46875 | reg_penalty=808.5040283203125 | dual_val_times_grad=235221.140625 | max_pos_slack=47233.68359375 | sum_pos_slack=82495.421875
iter=46 | dual_objective=-277984.5625 | dual_grad_norm=39460.99609375 | reg_penalty=341.638671875 | dual_val_times_grad=-140822.703125 | max_pos_slack=27697.34375 | sum_pos_slack=28617.392578125
iter=47 | dual_objective=-276466.75 | dual_grad_norm=39458.296875 | reg_penalty=343.1249694824219 | dual_val_times_grad=-139315.875 | max_pos_slack=27695.44140625 | sum_pos_slack=28591.51171875
iter=48 | dual_objective=-278597.1875 | dual_grad_norm=99883.0390625 | reg_penalty=1297.8619384765625 | dual_val_times_grad=348812.5625 | max_pos_slack=70538.6875 | sum_pos_slack=127265.3125
iter=49 | dual_objective=-277395.84375 | dual_grad_norm=39461.48046875 | reg_penalty=346.0244445800781 | dual_val_times_grad=-140236.3125 | max_pos_slack=27697.75 | sum_pos_slack=28549.162109375
iter=50 | dual_objective=-276627.71875 | dual_grad_norm=39460.33203125 | reg_penalty=347.3582458496094 | dual_val_times_grad=-139473.5625 | max_pos_slack=27696.947265625 | sum_pos_slack=28528.453125
iter=51 | dual_objective=-276027.125 | dual_grad_norm=59715.18359375 | reg_penalty=764.9470825195312 | dual_val_times_grad=209690.21875 | max_pos_slack=42091.453125 | sum_pos_slack=72300.0390625
iter=52 | dual_objective=-276963.5 | dual_grad_norm=39457.98046875 | reg_penalty=349.7895202636719 | dual_val_times_grad=-139819.96875 | max_pos_slack=27695.3046875 | sum_pos_slack=28492.21484375
iter=53 | dual_objective=-275834.875 | dual_grad_norm=39463.18359375 | reg_penalty=350.9226379394531 | dual_val_times_grad=-138673.890625 | max_pos_slack=27699.02734375 | sum_pos_slack=28480.125
iter=54 | dual_objective=-278573.21875 | dual_grad_norm=99149.59375 | reg_penalty=1320.086181640625 | dual_val_times_grad=346193.84375 | max_pos_slack=70020.375 | sum_pos_slack=125729.890625
iter=55 | dual_objective=-276314.65625 | dual_grad_norm=39465.26171875 | reg_penalty=353.1218566894531 | dual_val_times_grad=-139148.40625 | max_pos_slack=27700.5390625 | sum_pos_slack=28451.72265625
iter=56 | dual_objective=-275707.75 | dual_grad_norm=39464.5078125 | reg_penalty=354.1497497558594 | dual_val_times_grad=-138545.09375 | max_pos_slack=27700.015625 | sum_pos_slack=28437.572265625
iter=57 | dual_objective=-276984.21875 | dual_grad_norm=84953.5078125 | reg_penalty=1083.7552490234375 | dual_val_times_grad=297778.28125 | max_pos_slack=59972.67578125 | sum_pos_slack=105862.046875
iter=58 | dual_objective=-276600.5 | dual_grad_norm=39461.55078125 | reg_penalty=356.0808410644531 | dual_val_times_grad=-139450.109375 | max_pos_slack=27697.931640625 | sum_pos_slack=28411.205078125
iter=59 | dual_objective=-276098.3125 | dual_grad_norm=39461.16796875 | reg_penalty=356.9823303222656 | dual_val_times_grad=-138950.171875 | max_pos_slack=27697.671875 | sum_pos_slack=28399.80859375
iter=60 | dual_objective=-276017.3125 | dual_grad_norm=59168.91015625 | reg_penalty=787.909423828125 | dual_val_times_grad=207714.71875 | max_pos_slack=41704.43359375 | sum_pos_slack=70962.2421875
iter=61 | dual_objective=-276390.8125 | dual_grad_norm=39462.9140625 | reg_penalty=358.64678955078125 | dual_val_times_grad=-139238.078125 | max_pos_slack=27698.93359375 | sum_pos_slack=28381.19140625
iter=62 | dual_objective=-275593.6875 | dual_grad_norm=20696.1953125 | reg_penalty=373.92181396484375 | dual_val_times_grad=-71219.421875 | max_pos_slack=14248.2412109375 | sum_pos_slack=14949.87890625
iter=63 | dual_objective=-276339.375 | dual_grad_norm=71239.984375 | reg_penalty=925.1515502929688 | dual_val_times_grad=250013.640625 | max_pos_slack=50260.796875 | sum_pos_slack=86757.1484375
iter=64 | dual_objective=-276556.6875 | dual_grad_norm=39462.25390625 | reg_penalty=360.8858947753906 | dual_val_times_grad=-139408.328125 | max_pos_slack=27698.494140625 | sum_pos_slack=28355.048828125
iter=65 | dual_objective=-276102.625 | dual_grad_norm=39460.5625 | reg_penalty=361.5762634277344 | dual_val_times_grad=-138960.96875 | max_pos_slack=27697.298828125 | sum_pos_slack=28346.203125
iter=66 | dual_objective=-275793.03125 | dual_grad_norm=46191.734375 | reg_penalty=682.8539428710938 | dual_val_times_grad=161970.5 | max_pos_slack=32492.826171875 | sum_pos_slack=54160.17578125
iter=67 | dual_objective=-275957.0 | dual_grad_norm=39459.203125 | reg_penalty=362.8421936035156 | dual_val_times_grad=-138821.34375 | max_pos_slack=27696.34375 | sum_pos_slack=28331.228515625
iter=68 | dual_objective=-275842.9375 | dual_grad_norm=49225.84765625 | reg_penalty=712.0800170898438 | dual_val_times_grad=172674.46875 | max_pos_slack=34648.42578125 | sum_pos_slack=57869.921875
iter=69 | dual_objective=-276063.125 | dual_grad_norm=39458.44140625 | reg_penalty=363.9983825683594 | dual_val_times_grad=-138931.25 | max_pos_slack=27695.818359375 | sum_pos_slack=28317.9609375
